user_id,artist_id,artist_name,play_count
user_001,artist_002,Wizkid,81
user_001,artist_011,Joeboy,76
user_001,artist_012,CKay,48
user_001,artist_010,Omah Lay,96
user_001,artist_006,Rema,62
user_001,artist_005,Ayra Starr,26
user_001,artist_001,Tems,58
user_001,artist_007,Asake,24
user_001,artist_050,Black Sherif,61
user_001,artist_046,Amaarae,33
user_001,artist_048,Shatta Wale,30
user_002,artist_020,Dua Lipa,35
user_002,artist_023,Olivia Rodrigo,33
user_002,artist_019,Ed Sheeran,27
user_002,artist_025,Lana Del Rey,68
user_002,artist_024,Miley Cyrus,96
user_002,artist_016,Ariana Grande,42
user_002,artist_018,Billie Eilish,26
user_002,artist_026,Adele,27
user_002,artist_017,Taylor Swift,53
user_002,artist_022,Bruno Mars,56
user_002,artist_027,Coldplay,49
user_003,artist_034,Future,17
user_003,artist_039,J Hus,37
user_003,artist_038,Dave,34
user_003,artist_037,Stormzy,30
user_003,artist_031,Post Malone,38
user_003,artist_035,Metro Boomin,122
user_003,artist_036,Central Cee,26
user_003,artist_032,Doja Cat,86
user_003,artist_047,Sarkodie,11
user_003,artist_015,Tiwa Savage,28
user_003,artist_007,Asake,38
user_004,artist_041,The Weeknd,63
user_004,artist_016,Ariana Grande,50
user_004,artist_008,Tyla,72
user_004,artist_045,Chris Brown,35
user_004,artist_042,Beyonce,51
user_004,artist_046,Amaarae,69
user_004,artist_043,Rihanna,37
user_004,artist_040,SZA,62
user_004,artist_017,Taylor Swift,22
user_004,artist_024,Miley Cyrus,27
user_004,artist_019,Ed Sheeran,27
user_005,artist_048,Shatta Wale,43
user_005,artist_049,Stonebwoy,15
user_005,artist_002,Wizkid,18
user_005,artist_004,Davido,19
user_005,artist_003,Burna Boy,24
user_005,artist_046,Amaarae,59
user_005,artist_050,Black Sherif,25
user_005,artist_007,Asake,36
user_005,artist_015,Tiwa Savage,81
user_005,artist_047,Sarkodie,27
user_006,artist_038,Dave,18
user_006,artist_034,Future,48
user_006,artist_039,J Hus,32
user_006,artist_037,Stormzy,53
user_006,artist_053,Headie One,46
user_006,artist_028,Drake,130
user_006,artist_050,Black Sherif,39
user_006,artist_036,Central Cee,23
user_006,artist_023,Olivia Rodrigo,39
user_006,artist_025,Lana Del Rey,40
user_006,artist_019,Ed Sheeran,84
user_007,artist_002,Wizkid,17
user_007,artist_003,Burna Boy,23
user_007,artist_004,Davido,56
user_007,artist_008,Tyla,79
user_007,artist_014,Simi,169
user_007,artist_009,Fireboy DML,307
user_007,artist_013,Kizz Daniel,60
user_007,artist_012,CKay,24
user_007,artist_046,Amaarae,8
user_007,artist_049,Stonebwoy,41
user_007,artist_015,Tiwa Savage,20
user_008,artist_024,Miley Cyrus,55
user_008,artist_019,Ed Sheeran,145
user_008,artist_023,Olivia Rodrigo,50
user_008,artist_020,Dua Lipa,87
user_008,artist_022,Bruno Mars,33
user_008,artist_018,Billie Eilish,21
user_008,artist_016,Ariana Grande,24
user_008,artist_026,Adele,28
user_008,artist_025,Lana Del Rey,138
user_008,artist_017,Taylor Swift,20
user_008,artist_027,Coldplay,60
user_009,artist_034,Future,51
user_009,artist_030,Travis Scott,128
user_009,artist_029,Kendrick Lamar,51
user_009,artist_035,Metro Boomin,42
user_009,artist_039,J Hus,55
user_009,artist_033,Nicki Minaj,108
user_009,artist_031,Post Malone,53
user_009,artist_036,Central Cee,35
user_009,artist_046,Amaarae,71
user_009,artist_049,Stonebwoy,46
user_009,artist_047,Sarkodie,94
user_010,artist_041,The Weeknd,25
user_010,artist_040,SZA,70
user_010,artist_044,Khalid,35
user_010,artist_008,Tyla,46
user_010,artist_046,Amaarae,41
user_010,artist_001,Tems,57
user_010,artist_016,Ariana Grande,115
user_010,artist_042,Beyonce,49
user_010,artist_022,Bruno Mars,52
user_010,artist_020,Dua Lipa,9
user_010,artist_024,Miley Cyrus,33
user_011,artist_050,Black Sherif,63
user_011,artist_015,Tiwa Savage,33
user_011,artist_003,Burna Boy,37
user_011,artist_046,Amaarae,88
user_011,artist_004,Davido,65
user_011,artist_002,Wizkid,110
user_011,artist_047,Sarkodie,41
user_011,artist_048,Shatta Wale,29
user_011,artist_007,Asake,30
user_011,artist_049,Stonebwoy,40
user_012,artist_028,Drake,56
user_012,artist_038,Dave,101
user_012,artist_034,Future,28
user_012,artist_037,Stormzy,30
user_012,artist_050,Black Sherif,11
user_012,artist_053,Headie One,41
user_012,artist_052,Little Simz,23
user_012,artist_036,Central Cee,32
